;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
1;imposto de renda;2356311;13;107;contracheque;descontos;1;n;Desconto
2;subsidio;1877618;0;77;contracheque;NA;1;n;Remuneração
3;previdencia publica;1798801;0;88;contracheque;NA;1;n;Desconto
4;auxilioalimentacao;1521664;6;71;indenizacoes;NA;1;s;Indenização PL
5;auxilio saude;1014387;3;58;indenizacoes;NA;1;s;Indenização PL
6;descontos diversos;818728;1;86;contracheque;NA;1;n;Desconto
7;gratificacao por exercicio cumulativo;523097;0;61;direitos_eventuais;NA;1;s;Indenização PL
8;pagamentos retroativos;459269;0;75;direitos_eventuais;NA;1;n;Não identificado
9;contribuicao previdenciaria;432920;13;14;NA;descontos;1;n;Desconto
10;abono de permanencia;394836;13;79;direitos_pessoais;Remuneração;1;s;Indenização PL
11;retencao por teto constitucional;387955;9;77;contracheque;descontos;1;n;Desconto
12;remuneracao do cargo efetivo;358075;12;12;NA;Remuneração;1;n;Remuneração
13;indenizacao de ferias;280770;1;65;direitos_eventuais;NA;1;s;Indenização PL
14;gratificacao natalina;249560;12;78;direitos_eventuais;NA;1;s;Indenização PL
15;auxilio moradia;226502;3;70;indenizacoes;NA;1;s;Indenização PL
16;substituicao;225735;3;60;direitos_eventuais;NA;1;n;Não identificado
17;abono constitucional de 13 de ferias;182084;0;68;direitos_eventuais;NA;1;s;Indenização PL
18;auxilio alimentacao;162615;4;4;NA;NA;0;;
19;antecipacao de gratificacao natalina;146189;0;61;direitos_eventuais;NA;1;s;Indenização PL
20;NA;140806;0;77;NA;NA;0;;
21;auxilio preescolar;122354;3;51;indenizacoes;NA;1;s;Indenização PL
22;diarias;121872;0;89;contracheque;NA;1;s;Indenização PL
23;gratificacao eleitoral;104948;0;18;NA;NA;0;;
24;parcela de irredutibilidade;86941;0;2;NA;NA;0;;
25;remuneracao basica;83310;1;1;NA;NA;0;;
26;outras remuneracoes;50610;3;3;NA;NA;0;;
27;indenizacoes;50485;2;4;NA;indenizações;1;s;Indenização PL
28;indenizacao transporte res tjoe 112015;50112;0;1;NA;NA;0;;
29;artigo 95 iii da cf;48319;0;1;NA;NA;0;;
30;ferias 13 constitucional;46185;8;8;NA;NA;0;;
31;outras verbas remuneratorias legais ou judiciais;44328;9;9;NA;Remuneração;1;n;Remuneração
32;funcao de confianca ou cargo em comissao;44084;12;12;NA;Remuneração;1;n;Remuneração
33;verbas indenizatorias;38122;2;2;NA;NA;0;;
34;plantao hcmu;36883;0;1;NA;NA;0;;
35;outras remuneracoes temporarias;35305;4;4;NA;Remuneração;1;n;Remuneração
36;auxalimentacao;32646;1;1;NA;NA;0;;
37;urv decisao proc no 201691929387;28813;0;1;NA;NA;0;;
38;auxilio educacao;27210;0;1;NA;NA;0;;
39;designacaosubstituicao;27178;0;1;NA;NA;0;;
40;ajuda de custo;26640;6;58;direitos_eventuais;NA;1;s;Indenização PL
41;gratificacao exercicio cumulativo de oficio;25920;3;3;NA;NA;0;;
42;gratificacao por exercicio cumulativo de oficio;25743;1;1;NA;NA;0;;
43;antecipacao de ferias;25620;0;43;direitos_eventuais;NA;1;s;Indenização PL
44;auxilioalimentacao membro mp;25043;1;1;NA;NA;0;;
45;assistencia medicosocial auxiliosaude membro mp;24835;1;1;NA;NA;0;;
46;abono pecuniario;23528;4;13;NA;NA;0;;
47;gratificacao por acumulacao de acervo;23362;0;1;NA;NA;0;;
48;licenca compensatoria;22986;1;6;NA;NA;0;;
49;remuneracao do orgao de origem;22210;0;19;contracheque;NA;1;n;Remuneração
50;artigo 95 iii cf;21368;0;1;NA;NA;0;;
51;adicionais temporais;19630;0;1;NA;NA;0;;
52;ferias;19569;3;4;NA;NA;0;;
53;indenizacao de compensacao de horas;17519;0;1;NA;NA;0;;
54;cargo efetivo;17093;1;1;NA;NA;0;;
55;imposto;17093;1;1;NA;NA;0;;
56;previdenciaria;17093;1;1;NA;NA;0;;
57;alimentacao;17091;1;1;NA;NA;0;;
58;pecunia;15969;1;2;NA;NA;0;;
59;decisao adm 200804671197;15376;0;1;NA;NA;0;;
60;acf mes corrente;14356;1;1;NA;NA;0;;
61;auxiliocreche;14247;2;2;NA;NA;0;;
62;jeton;13624;0;31;direitos_eventuais;NA;1;n;Não identificado
63;adicional de ferias;13423;2;2;NA;NA;0;;
64;gratificacao de exercicio cumulativo com oficio sem psss;13104;1;1;NA;NA;0;;
65;gratificacao juiz;12468;0;2;NA;NA;0;;
66;gratificacao de direcao de forum;11932;0;2;NA;NA;0;;
67;remuneracao eventual ou temporaria;11832;1;1;NA;NA;0;;
68;indenizacao licenca compensatoria magistrado;11743;0;17;NA;NA;0;;
69;auxilio moradia isento de ir;11432;1;1;NA;NA;0;;
70;indenizacao lei 200332018;11079;0;1;NA;NA;0;;
71;gratificacao por encargo cursoconcurso;10557;0;55;direitos_eventuais;NA;1;s;Indenização PL
72;remuneracao;10519;0;1;NA;NA;0;;
73;indeniz feriaspremio;10329;0;1;NA;NA;0;;
74;auxiliosaude;10180;2;2;NA;NA;0;;
75;retencao do teto;9244;2;2;NA;NA;0;;
76;gratificacao acervo;9185;0;1;NA;NA;0;;
77;assist medico social;9048;0;1;NA;NA;0;;
78;indenizacoes de ferias acervo;8925;1;1;NA;NA;0;;
79;outras verbas remuneratoriaslegais ou judiciais;8670;1;1;NA;NA;0;;
80;parcela de equivalencia;8537;0;2;NA;NA;0;;
81;indenizacao de licenca premio;8443;0;3;NA;NA;0;;
82;outros eventos direitos eventuais;8315;0;1;NA;NA;0;;
83;ind licenca premioespec nao gozada;8144;1;1;NA;NA;0;;
84;indenizacao licenca compensatoria;7951;0;18;NA;NA;0;;
85;ind telefone;7876;0;1;NA;NA;0;;
